Expedition,Field_number,Biorepository_number,Museum,Order,Family,Subfamily,Genus,Species,Life_stage,SVL_mm,Mass_g,ED_mm_insitu,CD_mm_insitu,ED_mm_dissected,CD_mm_dissected,AD_mm_dissected,LD_mm_dissected,N_eyes
French Guiana April 2018,MW 11103,,BMNH,Anura,Hylidae,Lophyohylinae,Osteocephalus,taurinus,adult,86.1,,10.9,7.9,10.2,8,9.7,5.6,1
French Guiana April 2018,MW 9997,,BMNH,Anura,Bufonidae,NA,Rhinella,marina,adult,98,,10.7,(7.5 can't see),10.8,9,10.6,6.1,1
French Guiana April 2018,MW 9966,,BMNH,Anura,Leptodactylidae,Leptodactylinae,Leptodactylus,cf. pentadactylus,adult,109.4,,10.9,NA,12.25,10.7,11.7,NA,2
French Guiana April 2018,MW 9968,,BMNH,Anura,Leptodactylidae,Leptodactylinae,Leptodactylus,pentadactylus,adult,117.2,,13,10.4,12.3,10.6,11.7,7.5,1
French Guiana April 2018,MW 11187,,BMNH,Anura,Bufonidae,NA,Rhaebo,guttatus,adult,155,,16,13.5,15.5,13.7,14.1,8.7,1
French Guiana April 2018,MW 9967,,BMNH,Anura,Leptodactylidae,Leptodactylinae,Leptodactylus,cf. pentadactylus,adult,148,,15.5,NA,15.8,14.1,14.8,NA,1
French Guiana April 2018,MW 11336,,,Anura,Microhylidae,Gastrophryninae,Chiasmocleis,hudsoni,adult,28,,NA,NA,2.1,1.8,1.9,NA,1
French Guiana April 2018,MW 11335,,,Anura,Microhylidae,Gastrophryninae,Chiasmocleis,hudsoni,adult,28.2,,NA,NA,2.3,2,2.1,NA,1
French Guiana April 2018,MW 11268,,,Anura,Hylidae,Scinaxinae,Scinax,nebulosus,adult,36.1,,NA,NA,4.4,3.9,4,NA,1
French Guiana April 2018,MW 11268,,,Anura,Hylidae,Cophomantinae,Boana,punctata,adult,36.5,,NA,NA,4.4,3.7,4.2,NA,1
French Guiana April 2018,MW 11326,,,Anura,Hylidae,Lophyohylinae,Trachycephalus,corinia,adult,67.4,,NA,NA,6.8,5.7,6.3,NA,1
French Guiana April 2018,MW 11322,,,Anura,Ceratophryidae,NA,Ceratophrys,cornuta,adult,72.9,,NA,NA,8,6.8,7.8,NA,1
French Guiana April 2018,MW 11111,,BMNH,Anura,Hylidae,Dendropsophinae,Dendropsophus,sp. 2,adult,25.2,,4,3.3,4,3.4,NA,2.7,1
London April 2019,JWS 897,,NHM,Anura,Ranidae,,Rana,temporaria,adult,65.71,23.17,6.72,6.72,6.69,4.4,NA,3.57,1
NHM-Nov-2018,JWS 887,,NHM,Anura,Microhylidae,Microhylinae,Calluella,guttulata,adult,41.5,8.5,4.3,3.4,4.2,3.1,NA,NA,1
