"","Order","Suborder","Family","Subfamily","Genus","Species","genus_species","Feng_tiplabel","mod_tiplabel","Adult_habitat","Activity_period","Mating_habitat","Life_history","Larval_habitat","Sex_dichromatism","Sex_size_dimorphism","Female_max_SVL","Male_max_SVL","Pupil_shape"
"82","Anura","Neobatrachia","Microhylidae","Hoplophryninae","Hoplophryne","rogersi","Hoplophryne_rogersi","Hoplophryne_rogersi_Microhylidae","Hoplophryne_rogersi_Microhylidae","Ground-dwelling","Unknown","Plants","Free-living larvae","Lentic water","Absent","Females larger",32,26,"Unknown"
"83","Anura","Neobatrachia","Hylidae","Hylinae","Hyla","chinensis","Hyla_chinensis","Hyla_chinensis_Hylidae","Hyla_chinensis_Hylidae","Scansorial","Nocturnal","Unknown","Free-living larvae","Lentic water","Absent","Absent",38.3,33,"Unknown"
"84","Anura","Neobatrachia","Hylodidae",NA,"Hylodes","nasus","Hylodes_nasus","Hylodes_nasus_Hylodidae","Hylodes_nasus_Hylodidae","Ground-dwelling","Diurnal","Unknown","Free-living larvae","Lotic water","Unknown","Unknown",NA,NA,"Unknown"
"85","Anura","Neobatrachia","Microhylidae","Asterophryinae","Hylophorbus","rufescens","Hylophorbus_rufescens","Hylophorbus_rufescens_Microhylidae","Hylophorbus_rufescens_Microhylidae","Ground-dwelling","Nocturnal","Ground","No free-living larvae","No larvae","Unknown","Unknown",40.5,30,"Horizontal slit"
"86","Anura","Archaeobatrachia","Pipidae",NA,"Hymenochirus","boettgeri","Hymenochirus_boettgeri","Hymenochirus_boettgeri_Pipidae","Hymenochirus_boettgeri_Pipidae","Aquatic","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent","Females larger",35,NA,"Other"
"87","Anura","Neobatrachia","Hyperoliidae",NA,"Hyperolius","bolifambae","Hyperolius_bolifambae","Hyperolius_bolifambae_Hyperoliidae","Hyperolius_bolifambae_Hyperoliidae","Scansorial","Nocturnal","Plants","Free-living larvae","Lotic water","Present","Females larger",33,26,"Horizontal shape"
"88","Anura","Neobatrachia","Hyperoliidae",NA,"Hyperolius","viridiflavus","Hyperolius_viridiflavus","Hyperolius_viridiflavus_Hyperoliidae","Hyperolius_viridiflavus_Hyperoliidae","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Present","Females larger",NA,30.93,"Unknown"
"89","Anura","Neobatrachia","Bufonidae",NA,"Incilius","luetkenii","Incilius_luetkenii","Incilius_luetkenii_Bufonidae","Incilius_luetkenii_Bufonidae","Ground-dwelling","Nocturnal","Lentic water","Free-living larvae","Lentic water","Present","Females larger",107,96,"Horizontal slit"
"90","Anura","Neobatrachia","Bufonidae",NA,"Incilius","nebulifer","Incilius_nebulifer","Incilius_nebulifer_Bufonidae","Incilius_nebulifer_Bufonidae","Ground-dwelling","Nocturnal","Lentic water","Free-living larvae","Lentic water","Unknown","Females larger",132,118,"Horizontal slit"
"91","Anura","Neobatrachia","Bufonidae",NA,"Ingerophrynus","galeatus","Ingerophrynus_galeatus","Ingerophrynus_galeatus_Bufonidae","Ingerophrynus_galeatus_Bufonidae","Ground-dwelling","Unknown","Lotic water","Free-living larvae","Unknown","Absent","Females larger",88.5,49.9,"Horizontal slit"
"92","Anura","Neobatrachia","Brachycephalidae",NA,"Ischnocnema","parva","Ischnocnema_parva",NA,"Ischnocnema_parva_Brachycephalidae","Subfossorial","Nocturnal","Ground","No free-living larvae","No larvae","Unknown","Females larger",26,23,"Horizontal slit"
"93","Anura","Neobatrachia","Microhylidae","Kalophryninae","Kalophrynus","interlineatus","Kalophrynus_interlineatus",NA,"Kalophrynus_interlineatus_Microhylidae","Subfossorial","Nocturnal","Unknown","Unknown","Unknown","Absent","Absent",45,46,"Horizontal slit"
"94","Anura","Neobatrachia","Microhylidae","Kalophryninae","Kalophrynus","pleurostigma","Kalophrynus_pleurostigma","Kalophrynus_pleurostigma_Microhylidae","Kalophrynus_pleurostigma_Microhylidae","Subfossorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent","Females larger",58,50,"Horizontal slit"
"95","Anura","Neobatrachia","Microhylidae","Microhylinae","Kaloula","conjuncta","Kaloula_conjuncta","Kaloula_conjuncta_Microhylidae","Kaloula_conjuncta_Microhylidae","Scansorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Unknown","Females larger",47.2,44.4,"Unknown"
"96","Anura","Neobatrachia","Microhylidae","Microhylinae","Kaloula","indochinensis","Kaloula_indochinensis",NA,NA,"Ground-dwelling","Nocturnal","Lentic water","Unknown","Unknown","Absent","Absent",53.4,53.7,"Other"
"97","Anura","Neobatrachia","Microhylidae","Microhylinae","Kaloula","pulchra","Kaloula_pulchra","Kaloula_pulchra_Microhylidae","Kaloula_pulchra_Microhylidae","Ground-dwelling","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent","Absent",75,70,"Unknown"
"98","Anura","Neobatrachia","Rhacophoridae","Rhacophorinae","Kurixalus","odontotarsus","Kurixalus_odontotarsus","Kurixalus_odontotarsus_Rhacophoridae","Kurixalus_odontotarsus_Rhacophoridae","Scansorial","Unknown","Unknown","Unknown","Unknown","Absent","Unknown",NA,NA,"Horizontal slit"
"99","Anura","Archaeobatrachia","Leiopelmatidae",NA,"Leiopelma","hochstetteri","Leiopelma_hochstetteri","Leiopelma_hochstetteri_Leiopelmatidae","Leiopelma_hochstetteri_Leiopelmatidae","Semiaquatic","Nocturnal","Lotic water","Free-living larvae","Lotic water","Absent","Females larger",47,38,"Unknown"
"100","Anura","Neobatrachia","Ceratophryidae",NA,"Lepidobatrachus","laevis","Lepidobatrachus_laevis","Lepidobatrachus_laevis_Ceratophryidae","Lepidobatrachus_laevis_Ceratophryidae","Semiaquatic","Nocturnal","Lentic water","Free-living larvae","Unknown","Absent","Unknown",120.5,60,"Other"
"101","Anura","Archaeobatrachia","Megophryidae",NA,"Leptobrachella","bidoupensis","Leptobrachella_bidoupensis",NA,"Leptobrachella_bidoupensis_Megophryidae","Ground-dwelling","Nocturnal","Lotic water","Free-living larvae","Lotic water","Unknown","Unknown",29.4,24.6,"Vertical slit"
"102","Anura","Archaeobatrachia","Megophryidae",NA,"Leptobrachella","dringi","Leptobrachella_dringi",NA,NA,"Ground-dwelling","Unknown","Lotic water","Free-living larvae","Lotic water","Unknown","Females larger",38.1,31.3,"Vertical slit"
"103","Anura","Archaeobatrachia","Megophryidae",NA,"Leptobrachium","chapaense","Leptobrachium_chapaense","Leptobrachium_chapaense_Megophryidae","Leptobrachium_chapaense_Megophryidae","Ground-dwelling","Unknown","Lotic water","Free-living larvae","Lotic water","Absent","Females larger",57.8,51.6,"Vertical slit"
"104","Anura","Neobatrachia","Arthroleptidae","Astylosterninae","Leptodactylodon","ovatus","Leptodactylodon_ovatus","Leptodactylodon_ovatus_Arthroleptidae","Leptodactylodon_ovatus_Arthroleptidae","Semiaquatic","Unknown","Ground","Free-living larvae","Lotic water","Absent","Unknown",NA,NA,"Unknown"
