,Order,Suborder,Family,Subfamily,Genus,Species,genus_species,Feng_tiplabel,mod_tiplabel,Museum,SpecimenNumber,Sex,Stage,SVL_mm,Mass_g,ED_right_mm,ED_left_mm,CD_right_mm,CD_left_mm,Ant_dis_mm,Post_dis_mm,PostLid_dis_mm,EL_R_mm,EL_L_mm,Measured_by
507,Anura,Neobatrachia,Dicroglossidae,Dicroglossinae,Quasipaa,fasciculispina,Quasipaa_fasciculispina,NA,Quasipaa_fasciculispina_Dicroglossidae,NCSM,NCSM79536,NA,adult,107.1,106,15.9,14.7,12.1,11.4,16,NA,28.6,5.8,5.3,Kate_Thomas
508,Anura,Neobatrachia,Ranidae,NA,Rana,amurensis,Rana_amurensis,Rana_amurensis_Ranidae,Rana_amurensis_Ranidae,NHM,1907.2.4.8,NA,adult,55,12.1,6.3,5.7,4.4,4.7,6.7,NA,10.8,2.6,2.3,Kate_Thomas
509,Anura,Neobatrachia,Ranidae,NA,Rana,amurensis,Rana_amurensis,Rana_amurensis_Ranidae,Rana_amurensis_Ranidae,NHM,1907.2.4.9,NA,adult,54,11.9,6.5,6,4.4,4.5,6.8,NA,11,2.3,2,Kate_Thomas
510,Anura,Neobatrachia,Ranidae,NA,Rana,amurensis,Rana_amurensis,Rana_amurensis_Ranidae,Rana_amurensis_Ranidae,NHM,1907.2.4.10,NA,adult,49.7,8,6,5.6,4.5,4.3,6,NA,10.2,2.6,2.3,Kate_Thomas
511,Anura,Neobatrachia,Ranidae,NA,Rana,chensinensis,Rana_chensinensis,Rana_chensinensis_Ranidae,Rana_chensinensis_Ranidae,NHM,85.6.30.18,NA,adult,64,29,7.1,7,4.8,5.6,7.9,NA,13.5,2.5,2.3,Kate_Thomas
512,Anura,Neobatrachia,Ranidae,NA,Rana,chensinensis,Rana_chensinensis,Rana_chensinensis_Ranidae,Rana_chensinensis_Ranidae,NHM,85.6.30.19,NA,adult,55.4,15.2,6.9,6.8,4.7,4.5,8.3,NA,12.5,2.1,2,Kate_Thomas
513,Anura,Neobatrachia,Ranidae,NA,Rana,chensinensis,Rana_chensinensis,Rana_chensinensis_Ranidae,Rana_chensinensis_Ranidae,NHM,85.6.30.2,NA,adult,53.5,10.7,6.1,6.5,4.6,5.2,6.9,NA,11.6,2.3,2.2,Kate_Thomas
514,Anura,Neobatrachia,Ranidae,NA,Rana,japonica,Rana_japonica,Rana_japonica_Ranidae,Rana_japonica_Ranidae,NHM,44.2.22.106A,NA,adult,62.6,19.3,7.6,7.2,5.5,4.7,8.5,NA,12.7,2.9,2.8,Kate_Thomas
515,Anura,Neobatrachia,Ranidae,NA,Rana,japonica,Rana_japonica,Rana_japonica_Ranidae,Rana_japonica_Ranidae,NHM,44.2.22.106B,NA,adult,57.5,15.7,6.7,6.9,5.5,5.8,8.3,NA,12,2,2.4,Kate_Thomas
516,Anura,Neobatrachia,Ranidae,NA,Rana,temporaria,Rana_temporaria,Rana_temporaria_Ranidae,Rana_temporaria_Ranidae,NHM,93.9.13.2,NA,adult,65.68,25.77,7.24,7.14,5.17,5.17,9.95,NA,14.19,2.6,2.8,Kate_Thomas
517,Anura,Neobatrachia,Ranidae,NA,Rana,temporaria,Rana_temporaria,Rana_temporaria_Ranidae,Rana_temporaria_Ranidae,NHM,93.9.13.1,NA,adult,66.63,28.4,8.05,7.45,5.39,5.63,9.7,NA,14.53,3.04,3.37,Kate_Thomas
518,Anura,Neobatrachia,Ranidae,NA,Rana,temporaria,Rana_temporaria,Rana_temporaria_Ranidae,Rana_temporaria_Ranidae,NHM,93.9.13.3,NA,adult,73.37,35.72,7.71,7.82,5.44,5.61,10.51,NA,15.24,3.09,3.49,Kate_Thomas
519,Anura,Neobatrachia,Pelodryadidae,Pelodryadinae,Ranoidea,caerulea,Ranoidea_caerulea,Litoria_caerulea_Hylidae,Litoria_caerulea_Hylidae,NHM,1987.1644,NA,adult,96,36.6,8.2,8.6,6.7,6.8,15.6,23.4,NA,3,3,Kate_Thomas
520,Anura,Neobatrachia,Pelodryadidae,Pelodryadinae,Ranoidea,caerulea,Ranoidea_caerulea,Litoria_caerulea_Hylidae,Litoria_caerulea_Hylidae,NHM,56.9.4.28,NA,adult,71.9,24,7.6,7.5,6.3,6.1,13.2,20.4,NA,2.9,2.8,Kate_Thomas
521,Anura,Neobatrachia,Pelodryadidae,Pelodryadinae,Ranoidea,caerulea,Ranoidea_caerulea,Litoria_caerulea_Hylidae,Litoria_caerulea_Hylidae,NHM,1976.1493,NA,adult,77.3,32.2,7.3,7.4,5.6,5.6,14.3,20.2,NA,3.5,3.3,Kate_Thomas
522,Anura,Neobatrachia,Pelodryadidae,Pelodryadinae,Ranoidea,platycephala,Ranoidea_platycephala,NA,Ranoidea_platycephala_Hylidae,NHM,97.1.20.28,NA,adult,51.2,14,5.8,6,4.2,4.4,6.5,12.8,NA,4.1,3.8,Kate_Thomas
523,Anura,Neobatrachia,Pelodryadidae,Pelodryadinae,Ranoidea,platycephala,Ranoidea_platycephala,NA,Ranoidea_platycephala_Hylidae,NHM,1937.7.22.1,NA,adult,51.8,21.4,6.7,6.1,5,4.8,7.5,14.1,NA,4.2,3.7,Kate_Thomas
524,Anura,Neobatrachia,Pelodryadidae,Pelodryadinae,Ranoidea,platycephala,Ranoidea_platycephala,NA,Ranoidea_platycephala_Hylidae,NHM,1937.7.22.2,NA,adult,50.7,13.6,6.7,6.7,5.2,5.6,7.2,12.5,NA,3.4,3.5,Kate_Thomas
525,Anura,Neobatrachia,Bufonidae,NA,Rentapia,hosii,Rentapia_hosii,Rentapia_hosii_Bufonidae,Rentapia_hosii_Bufonidae,NHM,1974.442,female,adult,107.2,86,11.4,11,9.4,9,20.8,NA,29.9,4.1,3.8,Kate_Thomas
526,Anura,Neobatrachia,Bufonidae,NA,Rentapia,hosii,Rentapia_hosii,Rentapia_hosii_Bufonidae,Rentapia_hosii_Bufonidae,NHM,1974.4414,male,adult,76.1,41.1,9.7,9.7,7.2,7.7,15.4,NA,22.1,3.2,2.6,Kate_Thomas
527,Anura,Neobatrachia,Bufonidae,NA,Rentapia,hosii,Rentapia_hosii,Rentapia_hosii_Bufonidae,Rentapia_hosii_Bufonidae,NHM,1974.4416,male,adult,77.8,38.3,8.9,8.8,7.1,7.4,14.2,NA,22.5,2.8,2.7,Kate_Thomas
528,Anura,Neobatrachia,Bufonidae,NA,Rentapia,hosii,Rentapia_hosii,Rentapia_hosii_Bufonidae,Rentapia_hosii_Bufonidae,NHM,1974.4412,male,adult,77.2,39.8,8.8,8.9,7.2,7.6,15.4,NA,22.2,2.5,2.6,Kate_Thomas
