clade,species,BM [g],ED [mm],n,source
acanthomorph,Gasterosteus aculeatus,3.87,5.13,3,CAS/WFB
acanthomorph,Gazza minuta,16.73,8.77,3,CAS/WFB
acanthomorph,Gibberichthys pumilus,15.10,6.47,3,CAS/WFB
acanthomorph,Gibbonsia elegans,9.25,4.90,2,CAS/WFB
acanthomorph,Gillichthys mirabilis,23.23,4.70,3,CAS/WFB
acanthomorph,Gnathanacanthus goetzeei,74.00,11.10,1,CAS/WFB
acanthomorph,Gobiesox strumosus,1.97,2.38,3,CAS/WFB
acanthomorph,Gobionotothen gibberifrons,11.20,9.15,3,CAS/WFB
acanthomorph,Grammicolepis brachiusculus,21.03,12.68,3,CAS/WFB
acanthomorph,Grammoplites scaber,6.70,6.35,2,CAS/WFB
acanthomorph,Gymnocranius griseus,59.60,14.85,2,CAS/WFB
acanthomorph,Haemulon sciurus,110.67,14.53,3,CAS/WFB
acanthomorph,Halichoeres pictus,14.23,4.68,3,CAS/WFB
acanthomorph,Halieutichthys aculeatus,5.20,6.02,3,CAS/WFB
acanthomorph,Harpagifer bispinis,8.43,5.82,3,CAS/WFB
acanthomorph,Helostoma temminkii,22.83,8.05,3,CAS/WFB
acanthomorph,Hemilepidotus hemilepidotus,15.33,7.43,3,CAS/WFB
acanthomorph,Hemitripterus bolini,99.53,9.67,3,CAS/WFB
acanthomorph,Heteropriacanthus cruentatus,106.10,21.10,2,CAS/WFB
acanthomorph,Hirundichthys rondeletii,10.20,6.10,1,CAS/WFB
acanthomorph,Histiopterus typus,65.60,15.00,1,CAS/WFB
acanthomorph,Hoplichthys citrinus,32.33,11.83,3,CAS/WFB
acanthomorph,Hyperoglyphe japonica,110.10,13.70,1,CAS/WFB
acanthomorph,Hypoptychus dybowskii,0.65,4.20,2,CAS/WFB
acanthomorph,Hypsoblennius gentilis,10.80,4.97,3,CAS/WFB
acanthomorph,Icosteus aenigmaticus,222.90,9.70,1,CAS/WFB
acanthomorph,Inermia vittata,7.95,6.40,2,CAS/WFB
acanthomorph,Kathetostoma albigutta,14.65,4.78,2,CAS/WFB
acanthomorph,Katsuwonus pelamis,469.60,15.00,1,CAS/WFB
acanthomorph,Kuhlia rupestris,143.10,14.80,3,CAS/WFB
acanthomorph,Kyphosus sp.,63.73,10.53,3,CAS/WFB
acanthomorph,Labrisomus sp.,28.50,6.20,1,CAS/WFB
acanthomorph,Lactarius lactarius,16.50,8.70,3,CAS/WFB
acanthomorph,Lates niloticus,84.37,11.73,3,CAS/WFB
acanthomorph,Latridopsis ciliaris,33.60,8.25,2,CAS/WFB
acanthomorph,Leptobrama muelleri,193.90,12.00,1,CAS/WFB
acanthomorph,Liparis pulchellus,10.62,3.85,6,CAS/WFB
acanthomorph,Lobotes surinamensis,235.40,9.47,3,CAS/WFB
acanthomorph,Lophiidae indet.,115.27,10.27,3,CAS/WFB
acanthomorph,Lutjanidae indet.,10.55,8.00,2,CAS/WFB
acanthomorph,Luvaridae indet.,275.85,14.65,2,CAS/WFB
acanthomorph,Lycodes pacificus,11.00,8.65,2,CAS/WFB
acanthomorph,Macroramphosus scolopax,14.32,9.10,6,CAS/WFB
acanthomorph,Malacocottus kincaidi,60.40,12.00,1,CAS/WFB
acanthomorph,Melanocetus johnsonii,21.33,1.17,3,CAS/WFB
acanthomorph,Melanonus zugmayeri,20.50,6.45,2,CAS/WFB
acanthomorph,Melanotaenia affinis,22.00,6.45,2,CAS/WFB
acanthomorph,Mene maculata,17.30,8.00,3,CAS/WFB
acanthomorph,Merluccius gayi,45.20,9.90,3,CAS/WFB
acanthomorph,Microgadus proximus,29.50,8.98,2,CAS/WFB
acanthomorph,Monacanthus hispidus,20.60,8.28,3,CAS/WFB
acanthomorph,Monocanthus mylii,70.80,10.05,2,CAS/WFB
acanthomorph,Monocentris japonica,88.47,12.90,3,CAS/WFB
acanthomorph,Monodactylus argenteus,5.00,6.40,3,CAS/WFB
acanthomorph,Monopterus albus,34.90,1.60,1,CAS/WFB
acanthomorph,Mora moro,6.55,10.55,2,CAS/WFB
acanthomorph,Morone chrysops,183.57,11.00,3,CAS/WFB
acanthomorph,Muraenolepis microps,12.10,4.30,1,CAS/WFB
acanthomorph,Nandus nandus,12.03,5.93,3,CAS/WFB
acanthomorph,Nematistius pectoralis,145.20,12.50,1,CAS/WFB
acanthomorph,Nemipterus hexodon,26.23,10.40,3,CAS/WFB
acanthomorph,Neoodax balteatus,29.77,7.13,3,CAS/WFB
acanthomorph,Normanichthys crockeri,2.83,5.65,3,CAS/WFB
acanthomorph,Odontesthes hatcheri,15.97,6.90,3,CAS/WFB
