Dataset_name,Common_name,Group,Subgroup,Subclade,Other taxonomy,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Grus grus,,Birds (Aves),birds,Aves,,5.5,21.4,NA,NA,NA,Hall & Heesy 2011,Grus grus,birdtree,,
Haematopus ostralegus,,Birds (Aves),birds,Aves,,0.526,14.1,NA,NA,NA,Hall & Heesy 2011,Haematopus ostralegus,birdtree,,
Hieraaetus pennatus,,Birds (Aves),birds,Aves,,0.8345,22.6,NA,NA,NA,Hall & Heesy 2011,Hieraaetus pennatus,birdtree,,
Hirundo rustica,,Birds (Aves),birds,Aves,,0.01865,8,NA,NA,NA,Hall & Heesy 2011,Hirundo rustica,birdtree,,
Larus argentatus,,Birds (Aves),birds,Aves,,1.085,18.2,NA,NA,NA,Hall & Heesy 2011,Larus argentatus,birdtree,,
Larus fuscus,,Birds (Aves),birds,Aves,,0.715,19,NA,NA,NA,Hall & Heesy 2011,Larus fuscus,birdtree,,
Larus hyperboreus,,Birds (Aves),birds,Aves,,1.4125,18.8,NA,NA,NA,Hall & Heesy 2011,Larus hyperboreus,birdtree,,
Larus minutus,,Birds (Aves),birds,Aves,,0.118,11.8,NA,NA,NA,Hall & Heesy 2011,Larus minutus,birdtree,,
Limosa lapponica,,Birds (Aves),birds,Aves,,0.2925,9.4,NA,NA,NA,Hall & Heesy 2011,Limosa lapponica,birdtree,,
Lullula arborea,,Birds (Aves),birds,Aves,,0.0269,7.8,NA,NA,NA,Hall & Heesy 2011,Lullula arborea,birdtree,,
Melanitta nigra,,Birds (Aves),birds,Aves,,1.052,12.8,NA,NA,NA,Hall & Heesy 2011,Melanitta nigra,birdtree,,
Mergus merganser,,Birds (Aves),birds,Aves,,1.4705,15,NA,NA,NA,Hall & Heesy 2011,Mergus merganser,birdtree,,
Milvus migrans,,Birds (Aves),birds,Aves,,0.567,20,NA,NA,NA,Hall & Heesy 2011,Milvus migrans,birdtree,,
Milvus milvus,,Birds (Aves),birds,Aves,,1.08,20.3,NA,NA,NA,Hall & Heesy 2011,Milvus milvus,birdtree,,
Motacilla alba,,Birds (Aves),birds,Aves,,0.021,7.1,NA,NA,NA,Hall & Heesy 2011,Motacilla alba,birdtree,,
Motacilla flava,,Birds (Aves),birds,Aves,,0.0176,6.3,NA,NA,NA,Hall & Heesy 2011,Motacilla flava,birdtree,,
Neophron percnopterus,,Birds (Aves),birds,Aves,,2.082,22.1,NA,NA,NA,Hall & Heesy 2011,Neophron percnopterus,birdtree,,
Nucifraga caryocatactes,,Birds (Aves),birds,Aves,,0.1935,14,NA,NA,NA,Hall & Heesy 2011,Nucifraga caryocatactes,birdtree,,
Numenius arquata,,Birds (Aves),birds,Aves,,0.8055,14.7,NA,NA,NA,Hall & Heesy 2011,Numenius arquata,birdtree,,
Numenius phaeopus,,Birds (Aves),birds,Aves,,0.3795,13.4,NA,NA,NA,Hall & Heesy 2011,Numenius phaeopus,birdtree,,
Nycticorax nycticorax,,Birds (Aves),birds,Aves,,0.81,17.8,NA,NA,NA,Hall & Heesy 2011,Nycticorax nycticorax,birdtree,,
Oenanthe oenanthe,,Birds (Aves),birds,Aves,,0.02315,7.2,NA,NA,NA,Hall & Heesy 2011,Oenanthe oenanthe,birdtree,,
Parus major,,Birds (Aves),birds,Aves,,0.1545,6.6,NA,NA,NA,Hall & Heesy 2011,Parus major,birdtree,,
Pernis apivorus,,Birds (Aves),birds,Aves,,0.758,21.5,NA,NA,NA,Hall & Heesy 2011,Pernis apivorus,birdtree,,
Phalarocorax carbo,,Birds (Aves),birds,Aves,,2.935,15.8,NA,NA,NA,Hall & Heesy 2011,Phalacrocorax carbo,birdtree,,
Phalaropus fulicarius,,Birds (Aves),birds,Aves,,0.05595,6.95,NA,NA,NA,Hall & Heesy 2011,Phalaropus fulicarius,birdtree,,
Phalaropus lobatus,,Birds (Aves),birds,Aves,,0.03675,6,NA,NA,NA,Hall & Heesy 2011,Phalaropus lobatus,birdtree,,
Philomachus pugnax,,Birds (Aves),birds,Aves,,0.136,10.1,NA,NA,NA,Hall & Heesy 2011,Philomachus pugnax,birdtree,,
Phoenicopterus ruber,,Birds (Aves),birds,Aves,,3.0965,14,NA,NA,NA,Hall & Heesy 2011,Phoenicopterus ruber,birdtree,,
Platalea leucorodia,,Birds (Aves),birds,Aves,,1.868,13.9,NA,NA,NA,Hall & Heesy 2011,Platalea leucorodia,birdtree,,
Plegadis falcinellus,,Birds (Aves),birds,Aves,,NA,11.4,NA,NA,NA,Hall & Heesy 2011,Plegadis falcinellus,birdtree,,
Pluvialis dominica,,Birds (Aves),birds,Aves,,0.1515,11.8,NA,NA,NA,Hall & Heesy 2011,Pluvialis dominica,birdtree,,
Pluvialis squatarola,,Birds (Aves),birds,Aves,,0.25,12.8,NA,NA,NA,Hall & Heesy 2011,Pluvialis squatarola,birdtree,,
Polysticta stelleri,,Birds (Aves),birds,Aves,,0.8075,10.8,NA,NA,NA,Hall & Heesy 2011,Polysticta stelleri,birdtree,,
