Dataset_name,Common_name,Group,Subgroup,Subclade,Other taxonomy,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Hemigymnus_melapturus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00675,3.703333333,NA,4.953333333,NA,Schmitz & Wainwright 2011,,,Hemigymnus_melapterus,
Hemitaurichthys_polylepis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0218625,5.405,NA,8.37,NA,Schmitz & Wainwright 2011,,,Hemitaurichthys_polylepis,
Heniochus_accuminatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.014575,5.735,NA,8.45,NA,Schmitz & Wainwright 2011,,,Heniochus_acuminatus,
Heniochus_chrysostomus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.007766667,5.053333333,NA,7.54,NA,Schmitz & Wainwright 2011,,,Heniochus_chrysostomus,
Heniochus_monoceros,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01545,6.59,NA,9.28,NA,Schmitz & Wainwright 2011,,,Heniochus_monoceros,
Heniochus_varius,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0116,5.235,NA,7.66,NA,Schmitz & Wainwright 2011,,,Heniochus_varius,
Heteroconger_longissimus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0083,2.25,NA,2.98,NA,Schmitz & Wainwright 2011,,,NA,Heteroconger_hassi
Histrio_histrio,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.039,4.23,NA,5.76,NA,Schmitz & Wainwright 2011,,,Histrio_histrio,
Holocentrus_adscensionis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.1875,11.06,NA,16.995,NA,Schmitz & Wainwright 2011,,,Holocentrus_adscensionis,
Holocentrus_rufus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.08954,10.04,NA,16.04,NA,Schmitz & Wainwright 2011,,,Holocentrus_rufus,
Hypoplectrus_chlorurus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.02045,4.365,NA,7.315,NA,Schmitz & Wainwright 2011,,,NA,
Hypoplectrus_puella,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01815,5.2,NA,7.655,NA,Schmitz & Wainwright 2011,,,Hypoplectrus_puella,
Hypoplectrus_unicolor,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0284625,6.25,NA,8.9275,NA,Schmitz & Wainwright 2011,,,NA,
Hypsypops_rubicundus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.027916667,5.446666667,NA,8.066666667,NA,Schmitz & Wainwright 2011,,,Hypsypops_rubicundus,
Inermia_vittata,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.04361,6.672,NA,10.268,NA,Schmitz & Wainwright 2011,,,Haemulon_vittatum,
Johnrandallia_nigirostris,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0491,7.54,NA,10.95,NA,Schmitz & Wainwright 2011,,,Johnrandallia_nigrirostris,
Koumansetta_rainfordi,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00065,1.8,NA,2.79,NA,Schmitz & Wainwright 2011,,,NA,
Labrisomus_nuchipinnis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01814,4.498,NA,6.022,NA,Schmitz & Wainwright 2011,,,NA,Labrisomus_bucciferus
Labroides_bicolor,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.001666667,2.373333333,NA,3.233333333,NA,Schmitz & Wainwright 2011,,,Labroides_bicolor,
Labroides_dimidiatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0015,2.4,NA,3.153333333,NA,Schmitz & Wainwright 2011,,,Labroides_dimidiatus,
Lachnolaimus_maximus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.4018,14.34,NA,19.01,NA,Schmitz & Wainwright 2011,,,Lachnolaimus_maximus,
Lactophrys_triqueter,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0308,6.82,NA,10.16,NA,Schmitz & Wainwright 2011,,,Rhinesomus_triqueter,
Liopropoma_carmabi,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00125,2.7,NA,3.62,NA,Schmitz & Wainwright 2011,,,Liopropoma_carmabi,
Liopropoma_eukrines,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0018,2.9,NA,4.03,NA,Schmitz & Wainwright 2011,,,Liopropoma_eukrines,
Liopropoma_mowbrayi,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00115,2.54,NA,3.58,NA,Schmitz & Wainwright 2011,,,Liopropoma_mowbrayi,
Liopropoma_rubre,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.001433333,2.726666667,NA,3.836666667,NA,Schmitz & Wainwright 2011,,,Liopropoma_rubre,
Lutjanus_apodus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.323466667,15.4,NA,19.9,NA,Schmitz & Wainwright 2011,,,Lutjanus_apodus,
Lutjanus_decussatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.023316667,7.566666667,NA,10.23666667,NA,Schmitz & Wainwright 2011,,,NA,Lutjanus_russellii
Lutjanus_mahoganus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.30345,16.4,NA,23.1,NA,Schmitz & Wainwright 2011,,,Lutjanus_mahogoni,
Lutjanus_synagris,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.238783333,13.76666667,NA,18.1,NA,Schmitz & Wainwright 2011,,,Lutjanus_synagris,
Luzonichthys_waitei,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.002516667,2.846666667,NA,4,NA,Schmitz & Wainwright 2011,,,NA,
Macolor_macularis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00835,6.11,NA,8.73,NA,Schmitz & Wainwright 2011,,,NA,Macolor_niger
Macropharyngodon_meleagris,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.009108333,3.686666667,NA,4.99,NA,Schmitz & Wainwright 2011,,,Macropharyngodon_meleagris,
Malacoctenus_triangulatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00155,2.395,NA,3.58,NA,Schmitz & Wainwright 2011,,,Malacoctenus_triangulatus,
Microcanthus_strigatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0205,6.82,NA,10,NA,Schmitz & Wainwright 2011,,,NA,
Microspathodon_chrysurus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.082,6.665,NA,9.64,NA,Schmitz & Wainwright 2011,,,Microspathodon_chrysurus,
Mugil_cephalus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0812,8.8,NA,11.6,NA,Schmitz & Wainwright 2011,,,Mugil_cephalus,
Mulloidichthys_martinicus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0249,7.246666667,NA,11.27,NA,Schmitz & Wainwright 2011,,,NA,Mulloidichthys_flavolineatus
Muranea_sp.,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0489,3.25,NA,4.13,NA,Schmitz & Wainwright 2011,,,NA,Muraena_lentiginosa
Myrichthys_breviceps,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.108333333,3.046666667,NA,3.793333333,NA,Schmitz & Wainwright 2011,,,Myrichthys_breviceps,
Myrichthys_ocellatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.1245,3.18,NA,4.045,NA,Schmitz & Wainwright 2011,,,NA,Myrichthys_colubrinus
Myripristris_amaena,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.008025,6.665,NA,10.315,NA,Schmitz & Wainwright 2011,,,Myripristis_amaena,
Myripristris_jacobus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.09072,12.37,NA,18.86,NA,Schmitz & Wainwright 2011,,,Myripristis_jacobus,
Naso_lituratus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0229,5.595,NA,8.17,NA,Schmitz & Wainwright 2011,,,Naso_lituratus,
Naso_vlamingii,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.013425,7.54,NA,11.15,NA,Schmitz & Wainwright 2011,,,Naso_vlamingii,
Nemateleotris_magnifica,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0017875,3.35,NA,4.76,NA,Schmitz & Wainwright 2011,,,Nemateleotris_magnifica,
Neoglyphidodon_nigroris,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00045,2.116666667,NA,3.073333333,NA,Schmitz & Wainwright 2011,,,Neoglyphidodon_nigroris,
Neoniphon_marianus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.054525,10.2225,NA,15.5,NA,Schmitz & Wainwright 2011,,,Neoniphon_marianus,
Neoniphon_sammara,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.017,8.89,NA,12.62,NA,Schmitz & Wainwright 2011,,,Neoniphon_sammara,
Novaculichthys_taeniourus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00884,3.544,NA,4.958,NA,Schmitz & Wainwright 2011,,,Novaculichthys_taeniourus,
Novaculoides_macrolepidotus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.013066667,3.553333333,NA,5.423333333,NA,Schmitz & Wainwright 2011,,,Novaculoides_macrolepidotus,
Ocyurus_chrysurus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.3188,12.15833333,NA,16.95,NA,Schmitz & Wainwright 2011,,,Ocyurus_chrysurus,
Ophioblennius_atlanticus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.003433333,2.59,NA,3.89,NA,Schmitz & Wainwright 2011,,,Ophioblennius_atlanticus,
Opistognathus_aurifrons,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.001766667,4.023333333,NA,5.756666667,NA,Schmitz & Wainwright 2011,,,Opistognathus_aurifrons,
Oplegnathus_woodwardi,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.2092,10,NA,14.45,NA,Schmitz & Wainwright 2011,,,NA,Oplegnathus_fasciatus
Orthopristis_chrysoptera,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0142,5.553333333,NA,7.91,NA,Schmitz & Wainwright 2011,,,Orthopristis_chrysoptera,
Oxycirrhites_typus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.002983333,3.3,NA,4.71,NA,Schmitz & Wainwright 2011,,,NA,
Paracentropogon_rubripinnis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0024,3.59,NA,4.805,NA,Schmitz & Wainwright 2011,,,NA,
Paracirrhites_arcatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0022,3.06,NA,4.39,NA,Schmitz & Wainwright 2011,,,Paracirrhites_arcatus,
Paranthias_furcifer,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01462,5.752,NA,7.968,NA,Schmitz & Wainwright 2011,,,Paranthias_furcifer,
Parapercis_millepunctata,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00375,3.18,NA,4.43,NA,Schmitz & Wainwright 2011,,,NA,Parapercis_punctulata
Pempheris_schomburgki,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.02955,8.66,NA,14.5825,NA,Schmitz & Wainwright 2011,,,Pempheris_schomburgkii,
Petroscirtes_breviceps,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0024,3.22,NA,4.27,NA,Schmitz & Wainwright 2011,,,NA,Petroscirtes_mitratus
Phaeoptyx_pigmentaria,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.001,3.396666667,NA,4.613333333,NA,Schmitz & Wainwright 2011,,,Phaeoptyx_pigmentaria,
Pholidichthys_leucotaenia,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.001325,2.2725,NA,3.3825,NA,Schmitz & Wainwright 2011,,,Pholidichthys_leucotaenia,
Platybelone_argalus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.025333333,6.956666667,NA,10.76666667,NA,Schmitz & Wainwright 2011,,,Platybelone_argala,
Plectranthias_inermis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00265,2.95,NA,4.316666667,NA,Schmitz & Wainwright 2011,,,NA,
Plectroglyphidodon_lacrymatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0023,2.833333333,NA,4.256666667,NA,Schmitz & Wainwright 2011,,,Plectroglyphidodon_lacrymatus,
Plectroglyphidodon_leucozonus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00145,2.66,NA,3.943333333,NA,Schmitz & Wainwright 2011,,,Plectroglyphidodon_leucozonus,
Plectrorhinchus_chaetodontoides,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.028066667,7.883333333,NA,11.26666667,NA,Schmitz & Wainwright 2011,,,Plectorhinchus_chaetodonoides,
Pomacanthus_paru,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0269,4.685,NA,7.855,NA,Schmitz & Wainwright 2011,,,Pomacanthus_paru,
Priacanthus_cruentatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.13445,13.755,NA,21.9125,NA,Schmitz & Wainwright 2011,,,Heteropriacanthus_cruentatus,
Prionurus_microlepidotus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0251,5.79,NA,8.65,NA,Schmitz & Wainwright 2011,,,Prionurus_microlepidotus,
Pristigemys_serrula,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.08895,14.8,NA,19.65,NA,Schmitz & Wainwright 2011,,,NA,Pristigenys_alta
Pseudanthias_bartlettorum,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0031125,3.23,NA,4.57,NA,Schmitz & Wainwright 2011,,,NA,Pseudanthias_squamipinnis
Pseudanthias_dispar,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.003566667,3.25,NA,4.595,NA,Schmitz & Wainwright 2011,,,NA,Pseudanthias_pascalus
Pseudanthias_evansi,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0075,3.818,NA,5.232,NA,Schmitz & Wainwright 2011,,,NA,Pseudanthias_pascalus
Pseudanthias_fasciatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00995,5.555,NA,7.74,NA,Schmitz & Wainwright 2011,,,NA,Pseudanthias_pascalus
Pseudanthias_hutchii,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00865,3.98,NA,5.39,NA,Schmitz & Wainwright 2011,,,NA,Pseudanthias_pascalus
Pseudanthias_lori,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.002383333,2.993333333,NA,4.176666667,NA,Schmitz & Wainwright 2011,,,NA,Pseudanthias_pascalus
Pseudanthias_pleurotaenia,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0103875,4.73,NA,6.4475,NA,Schmitz & Wainwright 2011,,,NA,Pseudanthias_pascalus
Pseudanthias_squamipinnis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0080675,4.6275,NA,6.4025,NA,Schmitz & Wainwright 2011,,,Pseudanthias_squamipinnis,
Pseudanthias_tuka,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.001983333,2.583333333,NA,4.05,NA,Schmitz & Wainwright 2011,,,NA,Pseudanthias_pascalus
Pseudocheilinops_ataenia,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0016,2.5,NA,3.42,NA,Schmitz & Wainwright 2011,,,NA,
Pseudocheilinus_evadinus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00303125,3.29,NA,4.2675,NA,Schmitz & Wainwright 2011,,,Pseudocheilinus_evanidus,
Pseudodax_moluccanus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00568,3.665,NA,5.015,NA,Schmitz & Wainwright 2011,,,Pseudodax_moluccanus,
Pseudogramma_gregoryi,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00045,2.01,NA,2.7,NA,Schmitz & Wainwright 2011,,,Pseudogramma_gregoryi,
Pseudojuloides_cerasinus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0049,3.28,NA,4.71,NA,Schmitz & Wainwright 2011,,,Pseudojuloides_cerasinus,
Pseudopeneus_maculatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.083,8.65,NA,13.09,NA,Schmitz & Wainwright 2011,,,Pseudupeneus_maculatus,
Pterapogon_kauderni,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00195,4.304,NA,6.11,NA,Schmitz & Wainwright 2011,,,Pterapogon_kauderni,
Ptereleotris_evides,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.003483333,3.43,NA,4.846666667,NA,Schmitz & Wainwright 2011,,,Ptereleotris_evides,
Ptereleotris_heteroptera,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00195,3.04,NA,4.24,NA,Schmitz & Wainwright 2011,,,NA,Ptereleotris_evides
Ptereleotris_microlepis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00255,3.14,NA,4.99,NA,Schmitz & Wainwright 2011,,,Ptereleotris_microlepis,
Ptereleotris_zebra,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0037,3.915,NA,5.51,NA,Schmitz & Wainwright 2011,,,NA,Ptereleotris_evides
Pterois_volitans,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.003625,3.435,NA,4.855,NA,Schmitz & Wainwright 2011,,,Pterois_volitans,
Rypticus_maculatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.014375,4.415,NA,5.65,NA,Schmitz & Wainwright 2011,,,NA,Rypticus_saponaceus
Sargocentron_coruscum,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.022485714,7.554285714,NA,12.11857143,NA,Schmitz & Wainwright 2011,,,Sargocentron_coruscum,
Sargocentron_diadema,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01215,6.985,NA,11.31,NA,Schmitz & Wainwright 2011,,,Sargocentron_diadema,
Sargocentron_praslin,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.008325,5.395,NA,8.65,NA,Schmitz & Wainwright 2011,,,Sargocentron_praslin,
Sargocentron_vexillarium,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.02526087,6.549565217,NA,10.52043478,NA,Schmitz & Wainwright 2011,,,Sargocentron_vexillarium,
Scarus_iseri,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0568375,5.48875,NA,7.315,NA,Schmitz & Wainwright 2011,,,Scarus_iseri,
Scarus_psittacus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01495,5.435,NA,6.9,NA,Schmitz & Wainwright 2011,,,Scarus_psittacus,
Scarus_taeniopterus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.032041667,5.195,NA,7.205,NA,Schmitz & Wainwright 2011,,,Scarus_taeniopterus,
Scorpaena_plumieri,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0561,6.43,NA,10.39,NA,Schmitz & Wainwright 2011,,,NA,Scorpaena_agassizii
Serranocirrhites_latus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.003083333,3.406666667,NA,4.99,NA,Schmitz & Wainwright 2011,,,NA,
Serranus_annularis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.001475,3,NA,4.225,NA,Schmitz & Wainwright 2011,,,NA,Serranus_notospilus
Serranus_baldwini,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0026125,2.965,NA,4.14,NA,Schmitz & Wainwright 2011,,,Serranus_baldwini,
Serranus_chionaraia,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.002066667,3.606666667,NA,4.79,NA,Schmitz & Wainwright 2011,,,NA,Serranus_notospilus
Serranus_phoebe,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0032,4.03,NA,5.765,NA,Schmitz & Wainwright 2011,,,Serranus_phoebe,
Serranus_tabacarius,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0037875,4.385,NA,6.2275,NA,Schmitz & Wainwright 2011,,,NA,Serranus_notospilus
Serranus_tigrinus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0075,4.26,NA,5.82,NA,Schmitz & Wainwright 2011,,,Serranus_tigrinus,
Serranus_tortugarum,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0020875,3.5575,NA,4.9425,NA,Schmitz & Wainwright 2011,,,NA,Serranus_notospilus
Siganus_doliatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.03925,6.98,NA,10.08,NA,Schmitz & Wainwright 2011,,,NA,Siganus_luridus
Siganus_magnificus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0251,6.03,NA,9.245,NA,Schmitz & Wainwright 2011,,,NA,Siganus_luridus
Siganus_margaritiferus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.020557143,6.165714286,NA,9.228571429,NA,Schmitz & Wainwright 2011,,,NA,Siganus_luridus
Siganus_puellus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01785,6.745,NA,10.115,NA,Schmitz & Wainwright 2011,,,NA,Siganus_luridus
Siganus_punctatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0167,5.24,NA,7.86,NA,Schmitz & Wainwright 2011,,,Siganus_punctatus,
Siganus_spinus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01695,6.11,NA,8.81,NA,Schmitz & Wainwright 2011,,,Siganus_spinus,
Siganus_tetrazonus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0136,5.71,NA,8.81,NA,Schmitz & Wainwright 2011,,,NA,Siganus_luridus
Siganus_unimaculatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.018975,5.71,NA,8.77,NA,Schmitz & Wainwright 2011,,,NA,Siganus_luridus
Siganus_uspi,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00875,4.92,NA,7.38,NA,Schmitz & Wainwright 2011,,,NA,Siganus_luridus
Sparisoma_aurofrenatum,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.015,4.17,NA,6.17,NA,Schmitz & Wainwright 2011,,,Sparisoma_aurofrenatum,
Sparisoma_chrysopterum,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.038533333,5.53,NA,8.05,NA,Schmitz & Wainwright 2011,,,Sparisoma_chrysopterum,
Sparisoma_viride,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0151,4.57,NA,6.62,NA,Schmitz & Wainwright 2011,,,Sparisoma_viride,
Sphaeramia_nematoptera,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.002083333,3.873333333,NA,5.893333333,NA,Schmitz & Wainwright 2011,,,Sphaeramia_nematoptera,
Sphoeroides_sp.,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01795,5.95,NA,7.54,NA,Schmitz & Wainwright 2011,,,NA,Sphoeroides_parvus
Stegastes_diencaeus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0068,3.176666667,NA,5.58,NA,Schmitz & Wainwright 2011,,,Stegastes_diencaeus,
Stegastes_fuscus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.020418182,4.527272727,NA,7.109090909,NA,Schmitz & Wainwright 2011,,,Stegastes_fuscus,
Stegastes_leucostictus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.01017,3.544,NA,5.34,NA,Schmitz & Wainwright 2011,,,Stegastes_leucostictus,
Stegastes_partitus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0063,4.1,NA,5.824,NA,Schmitz & Wainwright 2011,,,Stegastes_partitus,
Stegastes_planifrons,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.026666667,5.263333333,NA,8.04,NA,Schmitz & Wainwright 2011,,,Stegastes_planifrons,
Stegastes_variabilis,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0026,3.17,NA,4.6,NA,Schmitz & Wainwright 2011,,,Stegastes_variabilis,
Stigmatogobius_pleurostigma,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.003725,3.395,NA,4.17,NA,Schmitz & Wainwright 2011,,,NA,
Syngnathoides_biaculeatus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0079,3.24,NA,4.55,NA,Schmitz & Wainwright 2011,,,Syngnathoides_biaculeatus,
Thalassoma_bifasciatum,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.007,3.2,NA,5.03,NA,Schmitz & Wainwright 2011,,,Thalassoma_bifasciatum,
Thalassoma_trilobatum,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0198,5.003333333,NA,6.586666667,NA,Schmitz & Wainwright 2011,,,Thalassoma_trilobatum,
Thallassoma_lunare,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00735,3.676666667,NA,4.656666667,NA,Schmitz & Wainwright 2011,,,Thalassoma_lunare,
Tylosurus_crocodilus,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.052,7.22,NA,10.87,NA,Schmitz & Wainwright 2011,,,Tylosurus_crocodilus,
Valenciennea_pullaris,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0055,3.26,NA,4.39,NA,Schmitz & Wainwright 2011,,,Valenciennea_puellaris,
Valenciennea_sp.,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.001383333,2.686666667,NA,3.526666667,NA,Schmitz & Wainwright 2011,,,NA,Valenciennea_strigata
Valenciennea_wardii,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0078,3.74,NA,5.15,NA,Schmitz & Wainwright 2011,,,NA,Valenciennea_strigata
Variola_louti,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00515,4.44,NA,5.87,NA,Schmitz & Wainwright 2011,,,Variola_louti,
Xyrichthys_splendens,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.00885625,3.8175,NA,5.625,NA,Schmitz & Wainwright 2011,,,Xyrichtys_splendens,
Zoramia_leptacantha,,Fishes (Actinopterygii),teleost reef fishes,Teleostei ,,0.0011375,3.355,NA,5.125,NA,Schmitz & Wainwright 2011,,,Zoramia_leptacantha,
Abudefduf saxatilis,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.086433333,NA,NA,11.98333333,NA,Schmitz et al. 2013,,,Abudefduf_saxatilis,
Acanthemblemaria macrospilus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.000566667,NA,NA,2.333333333,NA,Schmitz et al. 2013,,,Acanthemblemaria_macrospilus,
Acanthocepola abbreviata,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0074,NA,NA,6.15,NA,Schmitz et al. 2013,,,NA,Acanthocepola_indica
Acanthochaenus luetkenii,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0213,NA,NA,7.9,NA,Schmitz et al. 2013,,,Acanthochaenus_luetkenii,
