Family,Taxon,N(this study),"N(Ritland, 1982)",Activity (Ref),Axial length (mm),Corneal diameter (mm),Snout–vent length (mm),Ratio (corneal diameter/axial length)
Iguania,Sceloporus oberon,2,,"Photopic (4,9)",5.37,2.62,83.18,0.49
Iguania,Sceloporus occident,,1,"Photopic (4,9)",4.80,2.50,77.00,0.52
Iguania,Tropidurus hispidus,2,,"Photopic (4,9)",6.76,3.25,119.48,0.48
Iguania,Uma exsul,2,,"Photopic (4,9)",5.05,2.42,83.13,0.48
Iguania,Uranscodon superciliosus,2,,"Photopic (4,9)",8.79,4.86,129.34,0.55
Iguania,Uromastix hardwickii,2,,"Photopic (4,9)",7.26,3.19,157.06,0.44
Iguania,Uromastix microlepis,1,,"Photopic (4,9)",,2.78,,
Lacertidae,Acanthodactylus boskianus,3,3,"Photopic (4,9)",3.45,1.65,62.35,0.48
Lacertidae,Acanthodactylus cantoris,2,,"Photopic (4,9)",4.12,2.00,64.36,0.49
Lacertidae,Acanthodactylus longipes,3,,"Photopic (4,9)",2.60,0.91,39.30,0.35
Lacertidae,Acanthodactylus pardalis,2,,"Photopic (4,9)",2.85,1.09,61.59,0.38
Lacertidae,Aporosaura anchietae,2,,"Photopic (4,9)",3.90,1.29,50.38,0.33
Lacertidae,Eremias persica,1,,"Photopic (4,9)",4.06,2.11,87.83,0.52
Lacertidae,Gallotia atlantica,2,,"Photopic (4,9)",3.51,1.64,76.14,0.47
Lacertidae,Gallotia galloti,2,,"Photopic (4,9)",4.76,2.34,99.37,0.49
Lacertidae,Gerrhosaurus nigrolineatus,1,,"Photopic (4,9)",5.07,2.50,105.15,0.49
Lacertidae,Heliobolus lugubris,4,,"Photopic (4,9)",2.89,1.51,44.29,0.52
Lacertidae,Ichnotropis squamulosa,3,,"Photopic (4,9)",3.90,1.59,70.59,0.41
Lacertidae,Lacerta agilis,2,1,"Photopic (4,9)",4.03,1.85,53.85,0.46
Lacertidae,Lacerta lepida,,4,"Photopic (4,9)",4.63,2.38,78.75,0.51
Lacertidae,Lacerta viridis,3,,"Photopic (4,9)",4.69,2.58,98.00,0.55
Lacertidae,Meroles knoxii,1,,"Photopic (4,9)",3.42,1.80,53.67,0.53
Lacertidae,Mesalina guttulata,1,,"Photopic (4,9)",2.99,1.37,43.98,0.46
Lacertidae,Ophisops sp.,1,,"Photopic (4,9)",2.94,1.76,43.94,0.60
Lacertidae,Podarcis muralis,2,,"Photopic (4,9)",3.24,1.77,65.92,0.55
Lacertidae,Takydromis septentrionalis,3,,"Photopic (4,9)",3.04,1.56,65.99,0.51
Scincidae,Chalcides ocellatus,,3,"Photopic (2,6)",3.17,1.67,175.00,0.53
Scincidae,Egernia frerei,1,,"Scotopic (2,6,10)",6.44,4.93,180.93,0.77
Scincidae,Egernia whitii,1,,Scotopic (10),3.44,2.42,75.06,0.70
Scincidae,Eugongylus rufescens,1,,"Scotopic (2,6,10)",4.32,2.81,55.98,0.65
Scincidae,Eumeces schneideri,,1,"Photopic (2,6,10)",4.10,2.50,328.00,0.61
Scincidae,Eumeces skiltonianus,,1,"Photopic (2,6,10)",3.00,1.80,72.00,0.60
Scincidae,Mabuya perrotetii,2,,"Photopic (2,6,10)",5.40,2.92,96.05,0.54
Scincidae,Scincus mitranus,1,,"Photopic (2,6)",5.15,2.40,98.63,0.47
Scincidae,Scincus scincus,,1,"Photopic (2,6)",4.10,2.00,155.00,0.49
Scincidae,Sphenomorphus nigricaudis,1,,"Scotopic (2,6)",2.54,2.49,72.33,0.98
Scincidae,Tiliqua gigas,1,,"Photopic (2,6)",8.01,4.93,273.72,0.62
Teiidae,Ameiva ameiva,,1,"Photopic (4,9)",6.80,3.80,418.00,0.56
Teiidae,Dracaena guianensis,1,,"Photopic (4,9)",12.01,6.86,178.63,0.57
Teiidae,Tupinambis nigropunctatus,2,,"Photopic (4,9)",9.00,5.32,120.17,0.59
Varanoidea,Heloderma horridum*,1,2,Photopic (9),7.94,4.20,549.35,0.53
Varanoidea,Heloderma suspectum*,,1,Photopic (9),6.00,3.60,440.00,0.60
Varanoidea,Varanus indicus,,2,"Photopic (4,9)",8.05,4.80,219.00,0.60
Varanoidea,Varanus salvator,,1,"Photopic (4,9)",13.80,8.10,500.00,0.59
Xantusiidae,Lepidophyma gaigeae,2,2,"Photopic (4,9)",2.49,1.67,45.53,0.67
Xantusiidae,Xantusia henshawi,2,,"Scotopic (3,9,11)",2.97,3.19,58.59,1.07
Xantusiidae,Xantusia riversiana,1,,"Scotopic (3,8,11)",4.91,3.55,81.54,0.72
Xantusiidae,Xantusia vigilis,2,2,"Scotopic (3,8,11)",1.75,1.16,32.97,0.66
Rynchocephalia,Sphenodon punctatus,1,1,Scotopic (9),15.73,9.88,238.29,0.63
