Dataset_name,Common_name,Group,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Neophron percnopterus,,Birds (Aves),2.082,22.1,NA,NA,NA,Hall & Heesy 2011,Neophron percnopterus,birdtree,,
Nucifraga caryocatactes,,Birds (Aves),0.1935,14,NA,NA,NA,Hall & Heesy 2011,Nucifraga caryocatactes,birdtree,,
Numenius arquata,,Birds (Aves),0.8055,14.7,NA,NA,NA,Hall & Heesy 2011,Numenius arquata,birdtree,,
Numenius phaeopus,,Birds (Aves),0.3795,13.4,NA,NA,NA,Hall & Heesy 2011,Numenius phaeopus,birdtree,,
Nycticorax nycticorax,,Birds (Aves),0.81,17.8,NA,NA,NA,Hall & Heesy 2011,Nycticorax nycticorax,birdtree,,
Oenanthe oenanthe,,Birds (Aves),0.02315,7.2,NA,NA,NA,Hall & Heesy 2011,Oenanthe oenanthe,birdtree,,
Parus major,,Birds (Aves),0.1545,6.6,NA,NA,NA,Hall & Heesy 2011,Parus major,birdtree,,
Pernis apivorus,,Birds (Aves),0.758,21.5,NA,NA,NA,Hall & Heesy 2011,Pernis apivorus,birdtree,,
Phalarocorax carbo,,Birds (Aves),2.935,15.8,NA,NA,NA,Hall & Heesy 2011,Phalacrocorax carbo,birdtree,,
Phalaropus fulicarius,,Birds (Aves),0.05595,6.95,NA,NA,NA,Hall & Heesy 2011,Phalaropus fulicarius,birdtree,,
Phalaropus lobatus,,Birds (Aves),0.03675,6,NA,NA,NA,Hall & Heesy 2011,Phalaropus lobatus,birdtree,,
Philomachus pugnax,,Birds (Aves),0.136,10.1,NA,NA,NA,Hall & Heesy 2011,Philomachus pugnax,birdtree,,
Phoenicopterus ruber,,Birds (Aves),3.0965,14,NA,NA,NA,Hall & Heesy 2011,Phoenicopterus ruber,birdtree,,
Platalea leucorodia,,Birds (Aves),1.868,13.9,NA,NA,NA,Hall & Heesy 2011,Platalea leucorodia,birdtree,,
Plegadis falcinellus,,Birds (Aves),0,11.4,NA,NA,NA,Hall & Heesy 2011,Plegadis falcinellus,birdtree,,
Pluvialis dominica,,Birds (Aves),0.1515,11.8,NA,NA,NA,Hall & Heesy 2011,Pluvialis dominica,birdtree,,
Pluvialis squatarola,,Birds (Aves),0.25,12.8,NA,NA,NA,Hall & Heesy 2011,Pluvialis squatarola,birdtree,,
Polysticta stelleri,,Birds (Aves),0.8075,10.8,NA,NA,NA,Hall & Heesy 2011,Polysticta stelleri,birdtree,,
Prunella modularis,,Birds (Aves),0.0197,6.95,NA,NA,NA,Hall & Heesy 2011,Prunella modularis,birdtree,,
Riparia riparia,,Birds (Aves),0.01345,7.5,NA,NA,NA,Hall & Heesy 2011,Riparia riparia,birdtree,,
Rissa tridactyla,,Birds (Aves),0.4075,16.2,NA,NA,NA,Hall & Heesy 2011,Rissa tridactyla,birdtree,,
Stercorarius longicaudus,,Birds (Aves),0.2885,14,NA,NA,NA,Hall & Heesy 2011,Stercorarius longicaudus,birdtree,,
Stercorarius parasiticus,,Birds (Aves),0.4455,13,NA,NA,NA,Hall & Heesy 2011,Stercorarius parasiticus,birdtree,,
Stercorarius pomarinus,,Birds (Aves),0.694,16,NA,NA,NA,Hall & Heesy 2011,Stercorarius pomarinus,birdtree,,
Sterna paradisaea,,Birds (Aves),0.11,13.25,NA,NA,NA,Hall & Heesy 2011,Sterna paradisaea,birdtree,,
Sturnus vulgaris,,Birds (Aves),0.086,8.14,NA,NA,NA,Hall & Heesy 2011,Sturnus vulgaris,birdtree,,
Tringa glareola,,Birds (Aves),0.0675,8.8,NA,NA,NA,Hall & Heesy 2011,Tringa glareola,birdtree,,
Turdus viscivorus,,Birds (Aves),0.1175,12.3,NA,NA,NA,Hall & Heesy 2011,Turdus viscivorus,birdtree,,
Vanellus vanellus,,Birds (Aves),0.2185,12.6,NA,NA,NA,Hall & Heesy 2011,Vanellus vanellus,birdtree,,
Accipiter nisus,Sparrow hawk,Birds (Aves),1.56,13.5,NA,NA,NA,Howland et al. 2004,Accipiter nisus,birdtree,,
Alle alle,Dovekie,Birds (Aves),0.103,10.488,NA,NA,NA,Howland et al. 2004,Alle alle,birdtree,,
Amazilia tzacatl,Rufous-tailed hummingbird,Birds (Aves),0.0048,4.132,NA,NA,NA,Howland et al. 2004,Amazilia tzacatl,birdtree,,
Anas acuta,Pintail,Birds (Aves),0.67,9.986,NA,NA,NA,Howland et al. 2004,Anas acuta,birdtree,,
Anas carolinensis,Green-winged teal,Birds (Aves),0.305,8.792,NA,NA,NA,Howland et al. 2004,Anas crecca,birdtree,,
Apteryx australis,Brown kiwi,Birds (Aves),2.2,8,NA,NA,NA,Howland et al. 2004,Apteryx australis,birdtree,,
Apus apus,Common swift,Birds (Aves),0.0197,8.9,NA,NA,NA,Howland et al. 2004,Apus apus,birdtree,,
Aquila chrysaetos,Golden eagle,Birds (Aves),4.3451,32.024,NA,NA,NA,Howland et al. 2004,Aquila chrysaetos,birdtree,,
Aquila rapax,Tawny eagle,Birds (Aves),2.5315,26.51,NA,NA,NA,Howland et al. 2004,Aquila rapax,birdtree,,
Athene noctua,Little owl,Birds (Aves),2.78,12.5,NA,NA,NA,Howland et al. 2004,Athene noctua,birdtree,,
Balearica pavonina,Black crowned crane,Birds (Aves),4.448,18.928,NA,NA,NA,Howland et al. 2004,Balearica pavonina,birdtree,,
Bubo bubo,Eurasian eagle owl,Birds (Aves),1.8268,34.97,NA,NA,NA,Howland et al. 2004,Bubo bubo,birdtree,,
Bubo virginianus,Great horned owl,Birds (Aves),3.58,38,NA,NA,NA,Howland et al. 2004,Bubo virginianus,birdtree,,
Bucorvus cafer,Southern ground hornbill,Birds (Aves),3.25,27.458,NA,NA,NA,Howland et al. 2004,Bucorvus cafer,birdtree,,
Buteo buteo,Buzzard,Birds (Aves),2.55,23,NA,NA,NA,Howland et al. 2004,Buteo buteo,birdtree,,
Buteo jamaicensis,Red-tail hawk,Birds (Aves),2.55,26,NA,NA,NA,Howland et al. 2004,Buteo jamaicensis,birdtree,,
Cacatua galerita,Sulfur crested cockatoo,Birds (Aves),0.3115,13.26,NA,NA,NA,Howland et al. 2004,Cacatua galerita,birdtree,,
Callus domesticus,Chicken,Birds (Aves),0.6741,13.25,NA,NA,NA,Howland et al. 2004,Gallus gallus,birdtree,,
Cardinalis sinuatus,Pyrrhuloxia,Birds (Aves),0.03,5.01,NA,NA,NA,Howland et al. 2004,Cardinalis sinuatus,birdtree,,
Cathartes aura,Turkey vulture,Birds (Aves),10.47,19,NA,NA,NA,Howland et al. 2004,Cathartes aura,birdtree,,
Catharus guttatus,Hermit thrush,Birds (Aves),0.0947,9.071,NA,NA,NA,Howland et al. 2004,Catharus guttatus,birdtree,,
Choriotis kori,Bustard,Birds (Aves),7.77,30.022,NA,NA,NA,Howland et al. 2004,Ardeotis kori,birdtree,,
Ciconia ciconia,White stork,Birds (Aves),3.35,21.664,NA,NA,NA,Howland et al. 2004,Ciconia ciconia,birdtree,,
Columba livia,Pigeon,Birds (Aves),0.315,11.62,NA,NA,NA,Howland et al. 2004,Columba livia,birdtree,,
Corvus brachyrhynchos,Crow,Birds (Aves),1.0005,15.157,NA,NA,NA,Howland et al. 2004,Corvus brachyrhynchos,birdtree,,
Corvus monedula,Jackdaw,Birds (Aves),0.79,15,NA,NA,NA,Howland et al. 2004,Corvus monedula,birdtree,,
Cygnus cygnus,Trumpeter swan,Birds (Aves),5.6,13.65,NA,NA,NA,Howland et al. 2004,Cygnus cygnus,birdtree,,
Delichon urbica,House martin,Birds (Aves),0.0325,7.2,NA,NA,NA,Howland et al. 2004,Delichon urbicum,birdtree,,
Dromaius novaehollandiae,Emu,Birds (Aves),13.61,26.97,NA,NA,NA,Howland et al. 2004,Dromaius novaehollandiae,birdtree,,
Dromaius novaehollandiae,Emu,Birds (Aves),23.59,30.65,NA,NA,NA,Howland et al. 2004,Dromaius novaehollandiae,birdtree,,
Eudyptes chrysocome,Rockhopper penguin,Birds (Aves),23.34,22.7,NA,NA,NA,Howland et al. 2004,Eudyptes chrysocome,birdtree,,
Falco sparverius,American kestral,Birds (Aves),0.112,12.454,NA,NA,NA,Howland et al. 2004,Falco sparverius,birdtree,,
Falco tinnunculus,Kestrel,Birds (Aves),0.2033,14.936,NA,NA,NA,Howland et al. 2004,Falco tinnunculus,birdtree,,
Fregata aquila,Ascension frigatebird,Birds (Aves),1.405,19.655,NA,NA,NA,Howland et al. 2004,Fregata aquila,birdtree,,
Gavia stellata,Red-throated loon,Birds (Aves),1.549,14.471,NA,NA,NA,Howland et al. 2004,Gavia stellata,birdtree,,
Grus americana,Wild whooping crane,Birds (Aves),5,16.51,NA,NA,NA,Howland et al. 2004,Grus americana,birdtree,,
Grus canadensis,Sandhill crane,Birds (Aves),1.651,18.579,NA,NA,NA,Howland et al. 2004,Grus canadensis,birdtree,,
Haliaeetus vocifer,African fish eagle,Birds (Aves),3.5,23.523,NA,NA,NA,Howland et al. 2004,Haliaeetus vocifer,birdtree,,
Hirundo rustica,Barn swallow,Birds (Aves),0.0255,9.314,NA,NA,NA,Howland et al. 2004,Hirundo rustica,birdtree,,
Hydrobates pelagicus,Storm petrel,Birds (Aves),0.0465,6.75,NA,NA,NA,Howland et al. 2004,Hydrobates pelagicus,birdtree,,
Lagopus lagopus,Willow ptarmigan,Birds (Aves),0.541,11.604,NA,NA,NA,Howland et al. 2004,Lagopus lagopus,birdtree,,
Larus argentatus,Herring gull,Birds (Aves),0.535,16.542,NA,NA,NA,Howland et al. 2004,Larus argentatus,birdtree,,
Larus delawarensis,Ring-billed gull,Birds (Aves),0.72,17.225,NA,NA,NA,Howland et al. 2004,Larus delawarensis,birdtree,,
Larus Philadelphia,Bonaparte's gull,Birds (Aves),0.205,12.249,NA,NA,NA,Howland et al. 2004,Larus philadelphia,birdtree,,
Larus ridibundus,Black headed gull,Birds (Aves),1.045,11.5,NA,NA,NA,Howland et al. 2004,Larus ridibundus,birdtree,,
Leptoptilus crumeniferus,Marabou stork,Birds (Aves),7.13,25.35,NA,NA,NA,Howland et al. 2004,Leptoptilos crumeniferus,birdtree,,
Melopsittacus undulatus,Budgie,Birds (Aves),0.0077,6,NA,NA,NA,Howland et al. 2004,Melopsittacus undulatus,birdtree,,
Mergus serrator,Red-breasted merganser,Birds (Aves),0.77,11.734,NA,NA,NA,Howland et al. 2004,Mergus serrator,birdtree,,
Motacilla flava,Yellow wagtail,Birds (Aves),0.0327,9.314,NA,NA,NA,Howland et al. 2004,Motacilla flava,birdtree,,
Nymphicus hollandicus,Cockatiel,Birds (Aves),9.155,8.5,NA,NA,NA,Howland et al. 2004,Nymphicus hollandicus,birdtree,,
Nyroca affnis,Lesser scaup,Birds (Aves),1.041,11.929,NA,NA,NA,Howland et al. 2004,Aythya affinis,birdtree,,
Nyroca marila,Greater scaup,Birds (Aves),0.787,10.102,NA,NA,NA,Howland et al. 2004,Aythya marila,birdtree,,
Passer domesticus,House sparrow,Birds (Aves),0.0367,6.417,NA,NA,NA,Howland et al. 2004,Passer domesticus,birdtree,,
Pelecanus occidentalis,Brown pelican,Birds (Aves),3.29,19.523,NA,NA,NA,Howland et al. 2004,Pelecanus occidentalis,birdtree,,
Phalacrocorax carbo,Great cormorant,Birds (Aves),3.63,15,NA,NA,NA,Howland et al. 2004,Phalacrocorax carbo,birdtree,,
Phasianus colchicus,Ring-necked pheasant,Birds (Aves),0.625,14.601,NA,NA,NA,Howland et al. 2004,Phasianus colchicus,birdtree,,
Phoeniconaias minor,Lesser flamingo,Birds (Aves),1.5405,12.572,NA,NA,NA,Howland et al. 2004,Phoeniconaias minor,birdtree,,
Puffinus griseus,Sooty shearwater,Birds (Aves),0.268,12.416,NA,NA,NA,Howland et al. 2004,Puffinus griseus,birdtree,,
Puffinus puffinus,Manx shearwater,Birds (Aves),0.442,11.82,NA,NA,NA,Howland et al. 2004,Puffinus puffinus,birdtree,,
Quiscalus quiscula,Common grackle,Birds (Aves),0.237,8.1,NA,NA,NA,Howland et al. 2004,Quiscalus quiscula,birdtree,,
Ramphastos toco,Toco toucan,Birds (Aves),0.625,18.37,NA,NA,NA,Howland et al. 2004,Ramphastos toco,birdtree,,
Serinus canarius,Island canary,Birds (Aves),0.0162,5.496,NA,NA,NA,Howland et al. 2004,Serinus canaria,birdtree,,
Spheniscus humboldti,Humboldt penguin,Birds (Aves),25.046,20.5,NA,NA,NA,Howland et al. 2004,Spheniscus humboldti,birdtree,,
Spheniscus magellanicus,Magellanic penguin,Birds (Aves),25.29,27.3,NA,NA,NA,Howland et al. 2004,Spheniscus magellanicus,birdtree,,
Strix aluco,Tawny owl,Birds (Aves),0.4145,22.854,NA,NA,NA,Howland et al. 2004,Strix aluco,birdtree,,
Strix nebulosa,Great gray owl,Birds (Aves),4,14,NA,NA,NA,Howland et al. 2004,Strix nebulosa,birdtree,,
Struthio camelus,Ostrich,Birds (Aves),99.2008,44.22,NA,NA,NA,Howland et al. 2004,Struthio camelus,birdtree,,
Sturnus vulgaris,European starling,Birds (Aves),0.0762,7.92,NA,NA,NA,Howland et al. 2004,Sturnus vulgaris,birdtree,,
Sylvia atricapilla,Blackcap,Birds (Aves),0.007,7.75,NA,NA,NA,Howland et al. 2004,Sylvia atricapilla,birdtree,,
Aepyceros melampus,Impala,Mammals (Mammalia),37.86,29.506,NA,NA,NA,Howland et al. 2004,Aepyceros melampus,mammaltree,,
Alcelaphus cokei,Red Hartebeest,Mammals (Mammalia),134,29.208,NA,NA,NA,Howland et al. 2004,Alcelaphus buselaphus,mammaltree,,
Artibeus cinereus,Gervais's fruit eating bat,Reptiles (Squamata),0.1035,4.4,NA,NA,NA,Howland et al. 2004,Dermanura cinereus,mammaltree,,
Balaena mysticetus,Bowhead whale,Mammals (Mammalia),75000,45.571,NA,NA,NA,Howland et al. 2004,Balaena mysticetus,mammaltree,,
Balaenoptera musculus,Blue whale,Mammals (Mammalia),105000,107,NA,NA,NA,Howland et al. 2004,Balaenoptera musculus,mammaltree,,
Blarina brevicauda,Short-tailed shrew,Mammals (Mammalia),0.0106,1.368,NA,NA,NA,Howland et al. 2004,Blarina brevicauda,mammaltree,,
Bos taurus,Beefalo,Mammals (Mammalia),816.47,37,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Brown Swiss,Mammals (Mammalia),680.4,30,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Guernsey,Mammals (Mammalia),544.32,29,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Hereford,Mammals (Mammalia),907.19,30,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Holstein,Mammals (Mammalia),759.78,28,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Jersey Cow,Mammals (Mammalia),521.64,37,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Red Angus,Mammals (Mammalia),691.74,31,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Red Holstein,Mammals (Mammalia),873.17,30,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Simmental,Mammals (Mammalia),918.53,25,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Callitrix jacchus,Common marmoset,Mammals (Mammalia),0.33,12.544,NA,NA,NA,Howland et al. 2004,Callithrix jacchus,mammaltree,,
Canis latrans,Coyote,Mammals (Mammalia),8.51,18.658,NA,NA,NA,Howland et al. 2004,Canis latrans,mammaltree,,
Canis lupus,Wolf,Mammals (Mammalia),47.5,22.56,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Cocker spaniel,Mammals (Mammalia),9.07,21,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Collie,Mammals (Mammalia),23.81,17,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Doberman,Mammals (Mammalia),31.75,16,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Dog,Mammals (Mammalia),13.0723,20.146,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Golden retriever,Mammals (Mammalia),27.9,22.5,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Pekingese,Mammals (Mammalia),3.4,17,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Pomeranian,Mammals (Mammalia),9.07,20,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Siberian huskie,Mammals (Mammalia),30.62,22,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Basset hound,Mammals (Mammalia),20.41,25,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Capra hircus,Dwarf goat,Mammals (Mammalia),27.66,25.843,NA,NA,NA,Howland et al. 2004,Capra hircus,mammaltree,,
Capreolus capreolus,Roe deer,Mammals (Mammalia),17.5,22,NA,NA,NA,Howland et al. 2004,Capreolus capreolus,mammaltree,,
Castor canadensis,American beaver,Mammals (Mammalia),5.005,9.578,NA,NA,NA,Howland et al. 2004,Castor canadensis,mammaltree,,
Castor fiber,European beaver,Mammals (Mammalia),24.35,11.28,NA,NA,NA,Howland et al. 2004,Castor fiber,mammaltree,,
Cercopithecus aethiops,Vervet monkey,Mammals (Mammalia),4.185,17.278,NA,NA,NA,Howland et al. 2004,Chlorocebus aethiops,mammaltree,,
Cercopithecus mitis,Blue monkey,Mammals (Mammalia),2.9,17.979,NA,NA,NA,Howland et al. 2004,Cercopithecus mitis,mammaltree,,
Citellus citellus,Active European ground,Mammals (Mammalia),0.186,8.45,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus citellus,European ground squirrel,Mammals (Mammalia),0.3159,8.939,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus citellus,Hibernating Eur. ground,Mammals (Mammalia),0.096,8.1,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus citellus,Hibernating Eur. ground,Mammals (Mammalia),0.141,8.15,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus citellus,Hibernating Eur. ground,Mammals (Mammalia),0.156,8.65,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus parryi,Arctic ground squirrel,Mammals (Mammalia),0.918,10.083,NA,NA,NA,Howland et al. 2004,Urocitellus parryii,mammaltree,,
Cricetus cricetus,Common hamster,Mammals (Mammalia),0.1075,4.992,NA,NA,NA,Howland et al. 2004,Cricetus cricetus,mammaltree,,
Crocuta crocuta,Spotted hyena,Mammals (Mammalia),62.37,28.684,NA,NA,NA,Howland et al. 2004,Crocuta crocuta,mammaltree,,
Cystophora cristata,Hooded seal,Mammals (Mammalia),375,55,NA,NA,NA,Howland et al. 2004,Cystophora cristata,mammaltree,,
Delphinapterus leucas,Beluga whale,Mammals (Mammalia),375.13,25.034,NA,NA,NA,Howland et al. 2004,Delphinapterus leucas,mammaltree,,
Delphinus delphis,Common dolphin,Mammals (Mammalia),51.2277,20.564,NA,NA,NA,Howland et al. 2004,Delphinus delphis,mammaltree,,
Diceros bicornis,Black rhinoceros,Mammals (Mammalia),764,23.621,NA,NA,NA,Howland et al. 2004,Diceros bicornis,mammaltree,,
Dicrostonyx rubricatus,Bering collared lemming,Mammals (Mammalia),0.0521,4.4,NA,NA,NA,Howland et al. 2004,Dicrostonyx groenlandicus,mammaltree,,
Didelphis virginiana,Opossum,Mammals (Mammalia),4.05,10,NA,NA,NA,Howland et al. 2004,Didelphis virginiana,mammaltree,,
Dugong dugon,Dugong,Mammals (Mammalia),143.2072,21.935,NA,NA,NA,Howland et al. 2004,Dugong dugon,mammaltree,,
